Положительное_сообщение,Отрицательное_сообщение
пиши есть ваз 2110,ненавижу крыс особенно когда люди это уои аге у то сd ирsиdе dош
"с праздником, мужики! удачи вам!!!","если суд оправдает этого пидора, тогда это самая продажная структура."
раньше такие были.они надевались на туфли с каблуком,😡 😡 вот такие пидорасы сидят в думе
"меня возмущает,что женщина так говорить,чтоб ты знала ,в бедных семьях рождаются дети ,каторге знают что такое совесть,честь, и уважение",💩 подлецы рождённые подлецами и эгоистами 🐽
полиции нужно было поместить его в камеру с нападавшими на одну ночь-для его же удовольствия...,"они не понимают, одноразовые вы менты, вы ему не нужны когда вас будут судить, поймите пидоры"
ой как мне нравится,"😠 слушай , судьбой обиженная моська , ты здесь чтобы полаяться ! ? ну--ну ! продолжай , если нравится ! 🤡"
о о б бб как тарифы жкх рождаются,слышь дура пошла на хуй шалава ты у своей мамы спроси от кого ты может ты зря не русских оскорбояешь
"художник, молодец! художник видит, то что другие не видят! класс!!!",они вообще там охуевшие сидят и ничего не делают только и думают как к себе в карман положить побольше их давно судить нужно 🤬
и огурчик забыли!!!,"суки чего творят, ублюдки!"
кит альбинос,"🤡 те кто оказался от своего детя, чтоб у вас хуй на лбу вырос. бледьеее"
ну да как так то нельзя .там что знак есть или твоя собсвеннось .,"классная блядь свинья. на свиноферму её, к хрякам!"
взаимно спасибо,витя. вы педераст?
"а как же - врачи наши спасители , нимб над головой. почет и уважение от пациентов. все зарабатывают на кусок.хлеба, у врачей еще и с маслом.",всё это у нас было. вам же блядь колу и чипсы подавай. чем не довольны. жрите на здоровье. за что боролись на то и напоролись. 🐷
всеееем не повредит такой отдых)))),хуй знает что это это долбоеб написал слыхал дзвин а не знает где вин 😑
все естественно !!!,сам ты пидарас. дырявый чёрт
как живой пес.,а ты фофан берега не путай))) вспомни эмблемку за которую ты болеешь и ты поймёшь кто пидр))))
"если сравнивать в мире животных, то грязь для свиней благо, так как она лечебная, много микроэлементов, по гороскопу люди свинья, обоятельные, добрые, благодушные, часто попадают под власть не чистых по совести, крыса в природе живущая, выживет везде, найдет свой кусочек, чтобы затащить в норку, а есть люди похожие на крыс, вылезут, нагадил в нору под замок. а мышка по сравнению с человеком безобидные животное, указывает на корабле, что надо бежать, спасайтесь. 😊","51 летний убийца...., слов нет возмутиться...и выразить всё своё негодование, по поводу этой трагедии...куда спешил осёл безмозглый...??? вылетел на встречку..., убил парня 17 лет...., всё происходит за какие-то минуты..... ,но такие страшные последствия..., если бы сам виновник трагедии погиб.... можно было вздохнуть и сказать...: одного дебила на дороге стало меньше...."
каждая женщина обязана бессснустся счастливой и выйти из дома нагло красивой,сука усатая наобещает !! любого добьёт урод .....
уже осточертели и заврались нету не какой эпедемии.ортадоксы для понта вместе отмывание денег,"туфту гонишь, бандерлог... нет такой страницы"
спасибо вам! красиво!,в зеркало глянь–черта и увидишь. а мож суку или даже пидора.
донской пришли 6000,🐽 обторканый чувак!!!
на ладонь упала капля все подумали вода оказалось капля эта слезой ангела была плакал ангел безутешно когда видел свысока как поступков много грешных совершают без конца видел близких ненависть у видел людей зависть у чувства грязные и мысли черствость идей душ и мразь и упала снова капля вновь подумали вода оказалось ангел это плакал дитя горько как,уебок приезжай моя собака тебя за твою глодку подержит
"да когда хоть лукашенко авторитетом стал...нашим-вашим....холуина-во все стороны...если и искать авторитет,то уж,точно-не в этом направлении....","бля, какие они долбаебы! 💩"
про соль что?,видно 🤮 что блядь!
з з о мон музыка для bас обзор з з месяца музыки бесплатно за успей без подключить создать плейлист вечериночка з бз опати всра ережи bоо bоо з чч вора рнагаgн lо новый рим з чб lоbоdа мой гоеоdа гепdи гакни а если это любовь ч о в паvаl сияй аа гаи мой lоbора б вв о о,"а он нанял этих уродов что бы они издевались над нашим народом ,уходи не жди , давай ,чем быстрее тем лучше для тебя , 😤"
фото в личку скиньте),да тебя ебёт урода как она одета!
боже храни америку.,а что зарплаты подняли? ебучие правительство!!! 😠
почему 375? в начале умножение потом сложение и вычитание),развалили суки такую часть помню как прибыл в неё в 2005 с начало шмс а потом 4 бат
"я там бываю чаще, чем ты на свежем воздухе. поэтому не злая собака как некоторые🤷🏽‍♀️",верххеррада - 🤡 дебилы и враги украинского народа миллионы как разговаривали на русском так и будут
"это ахименес, на зиму их нужно срезать, почти засыхают, а весной дают новые ростки, неприхотливый цветок.",гнида жирная
👍👍👍чудо чудное! вы супер мастер!!!🌼,ублюдошное существо
у нас тоже три дежурные группы работают.,она тварь ебанутая!
"это значит -устоять невозможно и пусть весь мир подождет,,,!",алекс и......... ты мудак с большой буквы
она видать обслуживает всю военную верхушку,чучело не читай и грациозно на хуй цокай инишка солнышко чувырла хуелнышко придумают же себе прозвищ кобыла свинячия
а что классно придумали,"гандон эрдоган есле предал один раз то предаст и второй , грузин лаз по надсыи ,,, шайтан мразь,,,,,,,"
впереди осень...любимое время года🍂🍁🍄,быдло оно 👿 и в африке быдло!
"да ложь все это ,эти машины выпускают в узбекистане ,и таких денег они не стоят.",вонючие московские пидоры убивают нашу команду!!!!!!
"нина, примите дружбу, у вас закрыт профиль, не могу отправить информацию))",козлина особой породы👎 🤢
с шмииом курбан байрам всевышний примет все наши благодеяния одарит пусть свою милостью обоих мирах в аlуаитdипоvиldаг о,"тебе ,уебище 59 лет. а ты тут петушарой ходишь.хахаха 😒"
обращаться по номеру 89537984661,bгее тие снаппеl хотелось бы сказать александру григ лукашенко горьевичу огромное спасибо за его миротворческие усилия которые мы весьма ценим но в связи с его регулярными обращениями с пожеланиями мира украине его жалостью бедолаге клоуну зеленскому и о хотелось бы напомнить президенту 🤡 беларуси о четырех миллионах жителей республик донбасса пять живущих бандеровцев лет минами снарядами под и мы не хотим жить одной стране с этим вислоухим быдлом в представителя которого вы жалеете александр григорьевич будут жить больше четыре миллиона человек кне хотят и не в составе украины александр григорьевич той украины которая славит ту мразь которая живьем миллионы белорусов великой отечественной спалила в войне уясните лукашенко надеюсь это хорошенько товарищ я разъяснил ситуацию более чем доступным языком о ббо сеdитеd об
"всем приветик! у нас опять аномальная жара, сегодня с обеда подул обжигаюший ветер...пришло предупреждение на телефон... завтра повышение температуры до +40 с порыв аминь ветра до 20 метров в секунду.","это точно да ещё сука прибрешит, а у самой еблище в пушку"
за стабильность согласен но без лукашенко и без кочалкиной !,про район тайвань хочу напомнить вонь стоит несусветная и всем похер. предлагаю перевести областную думу мерию и кабинет губернатора поближе к этой сливной хрени
вовремя вышла на сайт:d :d :d опять что то отмечают🥂🍻,"да все они (твари), никогда ниработали,а простых людей за людей не ститали! 🐷"
"во-во, в самую точку сказано)))!!!","🤮 не слуги,а враги народа. пидормоты"
"что за сорт интересный,банановые ноги?",смотри пидор........прежде чем лезть в делах белорусов........фасшист хуего........
мама в голбец научила(живём в доме),"вы этот флаг опозорили, неся его в одном строю с пиндосами,либерастами . вы предали мою страну. с. с. с. р , а теперь предаёте россию ."
ищу золотые наручи вопрос октивен,"отлезь быдло, ты не интересен 🐔"
.....и к выборам губернатора....,судя по словесному поносу - ты точно русский.гордись собой быдло.тьфу.
колесница. дело будет завершено и принесет материальный успех.,свободу!настоящий мужчина!пидафилу гореть а 🙄 аду!
бери китайца до 3т.р. и меняй каждые 30тыс,че пидараст картиночки кончились или сраку моешь?
и роzи vz радоваться нужно сегодня а то завтра будет еще лучше,не хер ходить на концерты этих всех мразей . сами носите бабло а потом маски дачи дома в сша. обсерают сидят этих уродов по кайфу вам дебилаи
"и вам спасибо, что цените наш труд! мы тоже рады нашему знакомству!",пидор есть пидор
такие рожи можно долго не кормить!,как те которые вьебали дохера денег на ручку которая может писать в невесомости если можно было взять карандаш
какая красота! мне было бы жалко есть))),пиздабол бля щас он на дочке будет испытывать.заеб уже своим пиздежом всю страну
не спи рыбак....проспишь рыбку;-),пиздец мразь нет слов👎
"красата неописуемая,суперэ👍👍👍",лахотрон ебучей 😑
почём стир. машина ?,был 🤬 лукаш продажным есть и будит проститутка продался америкосам тварь и сыночка колю в гавно тянет пидорас ваш кортошенковский....................................
"у меня больше месяца кашель,я уже умерла от корона вируса???(hu) (hu) (hu)",.чмо говно много убирал иза этого запаха голова закружилась я тебя выебу во все щели петушок скажи где ты урод посмотрим кого достанем
"и у нас с супругом гараж, замечательное и уютное место",тебя урода вообще никуда не возьмут.
"я заправляюсь на газпроме и после обнуления нашего обнуленыша цена на бензин сразу взлетела на 2 рубля и пока вот такая , но уже ходят слухи что отпускная будет не менее 50 рублей",вот твари. и как они после этого заснуть смогут. 😤
"тесто должно быть мягкое, пусть поднимется, потом раскатаешь часть теста и положишь на горячую сковороду с маслом... вот и все",насест ебаный
я также. хочу,пидор мразь гнида ты
"текст песнимолитва(слова и музыка мулявина)-ошибочно указана песнямолитва за беларусь- как никогда актуальны... я буду маліцца...каб чорныя долі з мяцеліцаў шумамі ўжо больш не шалелі над роднай зямлёй... вокал хороший, но мулявин-исполнитель остаётся непревзойдённым.",попутал жопализ
для пересыла куда в россию чтоли опять,путин мразь и трус народ не запугать николай молодец
жаль далеко. а то бы устроили жмжм,питух ты у тебя в киеве пидорпарады проводят открой глаза слепота петушиная :d :d :d
мужики молодцы!,вот это безсердечная тварь 🤡 .
"костяника,тест полностью пройдите, нажмите на ссылку","я ещё раз говорю тебе идиот. при чём тут консервы и твои станции. речь идёт о поступке настоящих мужиков, про дебилов, речь не шла"
а сколько мин тогда стерилизовать,"если тебе, дебил в погонах, скучно, сыграй в русскую рулетку. или слабо."
великолепно!!!!,"пидор, есть - пидор..."
"этих ребят мы знаем, а кто эта красивая девушка?",😠 блядище из дом2
как в том фильме: а кемска волость? забирайте!,так что пизда те барсучий выблядок:d :( :d 😑
воска боле ч тысяч безмасочников были оштрафованы новости транспорте москвы рублей будут б ги тетей в размере о тысяч выплачены после б августа гепту снид,шлюха подстилка пиндосовская
где это столько грибов.,пиндосы пиздаболы фотошопили с давних времен
"гор.раменское. главная церковь.спуск к борисоглебскому озеру, место отдыха раменчане.",пидрила дырявый!
"с газом было в любом случае. за 3 копейки - с сиропом, за 1 копейку - без сиропа! кстати, сироп был в трёх вариантах! в моём детстве, в бирске пиво продавали в бочках, как квас!","в стране жопа , а 🐽 дебилы белоруссию обсуждают)))))"
"в депо есть что то наподобие чертежа этого проекта , там здание намного проще этого, просто прямоугольное... но хоть что то построили бы , в могоче построили , в сквр тоже..","😂с чего ты взял,что ты журналист,олень ты чмошный!!!!"
"прекрасная женщина, прекрасная актриса, очень жаль, хорошие люди уходят. . .","автор! зато страна производит пиздоболов--популистов, как ты! 👊👊👊👊👊👊"
скорее торговый центр,а шо у нас в украïне построили??????? ......дебил на шо нам болгарiя та рфiя.......пидораси за украïну пишить бо прiрва все збiльшуеця!!!!! 🖕
"как все аппетитненько! а главное натур продукт . вы молодцы! пора вам магазинчик открывать, думаю, отбоя от покупателей не будет.","🤡 ой, не могу!:-d завидуем дрочихе, что она разжирела! фантики, вы че? дроча может вызывать только раздражение, брезгливость,неприятие, но никак не зависть. не надо судить по себе!"
а каму можно продать? кто нибуть знает.,это правильно есть такие люди дерьмо
"вот в том то и дело,вот кто то спрашивает,а почему он газизов в спартак и фомина не продал,хотя по моему мнению это была бы более удачная покупка,чем эта,а зачем, на фомина был покупатель и он его купил,а вот ли были желающие на урунова,большой вопрос.",иди в стоило выродок👎 👎
"в рязанском воздушно-десантном училище можно увидеть плакат: кто обидит россию, будет иметь дело с вдв...",ты в сраке сидишь и глистов наябываешь.. пидарас тупой 😠
какая эдилия!,это шваль прикорытная летает.
"huomur)))) ( что значит, юмор). каждому своё кому травятся, да ради бога)",👿 почему то пидарас кулаков антон гиркин опущенный всегда перекладывает свою жопу рванную на других ok.ru/profile/580913166767/album/879967425455/901438399407
продам детскую стенку с кроватью,очередной говновброс.
"ну,что вы,игорь! животных и детей не обманешь,они всей душой чувствуют доброту и ласку!","🐷 что же вы жидва за люди, один хлеще другого, думаешь ну ладно одна жидва федорович на весь форум это в общей сложности единицы, но тут же другая жидва появляется, такая же мерзкая тупая, кошмар."
"проходила курс. сайт создала. всё понятно, шла по урокам. спасибо аделю гадельшину и его команде. уже больше года у меня свой сайт, который приносит мне дополнительный доход.","ублюдок ублюдка видит из далека. все ублюдки во власти из ведро буду награждать своих же ублюдков, детишек их. мрази. фашисты."
в нашей русской культуре у подобных женщин есть вполне литературное название - шлюха! и обсуждать здесь нечего от слова совсем...,ну у подорожника и кошевой тоже стенки стояли хоть и не вынесли их но заебали хорошо что они из изпод тазиков не вылазили
да я очень люблю астры,путиноидые все пидоры они бо чзбчча в у
класс ябы купила и черешю,это что 🐽 за пидар?
"замечательному композитору, прекрасному музыканту, браво!многая лета вам, игорь! крепкого здоровья, всех земных благ!",лука довыёбывался и вашим и нашим и теперь поддержки нет не от россии ни от запада а стоит россии вмешаться весь запад на дыбы станет ( одна дорога в ростов )
"вот ведь не только ефремов убил человека,а сколько детки алигархов убивают,и даже не отвечают,вот там бы копнуть,а тут раздули","ты шваль грязная старуха ебучая, пошла вон мразь отсюда, проститутка сраная"
"здравствуйте) опять у меня та же самая проблема--ни жизни; ни ром не могу получить от друзей, извещение приходят; а в игре не отображается,","эх, чует моя жопа, что всё будет как с конституцией. без нас , а отчитаются, что это народ так захотел. ублюдки! 🐷"
как всегда - комсомольская!,ды на блядь путнюю не тянет -- плечевая вонючая
"ахахахаха,так и есть",здесь ебаный ты букварь ты с какой планеты вообще ?
а глаза какие у обеих! :-d﻿,"как только держится страна бкдюльбашия ,поганая голожопия,ублюдки бульбаши!!! самая тупая мразь на рынке труда,ведь самые тупые ублюдки воры и алкаши это хохлы и алкаши!!! мусульмане пашут ,а бульбаши водку хуячат!!!"
"здорово! мне нравится, ообенно с видом на набережную. необычный дом. у таких домов какая-то ообая, притягательная атмосфера. в моем городе было немало подобных домов, возведенных династией фабрикантов краильщиковых. но, в наши дни, к сожалению, людьми движет жажда наживы, и вековые ценности, в том числе и архитектурные, отходят на второй план. и постепенно, один за другим эти старинные постройки переоборудуют в торговые центры, забивая пластиком всю их первозданную красоту и необыкновенную ауру((",долбаебы у путина есть на вас нац гвардия
"не отказали,в.тимченко переживает кто-же народу объяснить народу,значение принятых законов госдумой и совет фидерации.и как они будут ездить за границу",бля прав пидо.....ро.....сня просветает куда не плюнь все пидо....ры спартак обсуждают ... не подовись тухлым мясом.
для себя масса для лепки,"сиди с мамой ,пришибленная, она тебе епаря лучше найдет, а тебе все равно под кого лечь"
"и ролики самим вручную промыть, протереть",гундяев урод и олигофрен конченный гнида слабоумная!
я администратор этой группы,морально опустившиеся твари. 🤢
"вижу проснулась ещё одна королева преступного мира,под басяцкой погремухой мышь... начинай молоть...почитаю","идиоты и мы знаем , что они идиоты.и они знают, что мы знаем, что они идиоты."
огромное спасибо за твой труд и низкий поклон.,ему не стыдно стыдео быть пидорасом которые на лайках наживаются 🐓
доехать до пос.красного трамвая на сегодня нет и никогда не будет!,"да не, вдв это хуита какая то гнилая, позорная, а dvd это сила"
"звоните по номеру 87051919538 , 5тыяч","у батьки поехала крыша ,в самом натуральном смысле . не ужели бл.....ь ,не видно . или ему что то подсыпали. беларусь спасать надо а не каркать, наш нефть ,наш газ . очнитесь долбаебы ."
а я жду скидок в клубном магазине а то дорого,пусть сам ебашит отсюда урод
"я не знаю курс, позвоните пожалуйста по указанному номеру",сз ты тупиздень!
"людмила, я раньше думала всегда нужно обзывать первые цветы. в этом меня переубкдили. дерево сказали умное и оно само сбросит и оставит сколько сможет выростить. так я теперь и поступаю..",его ещё и говном полить не помешалобы это чудовище
"колеса 26 дюймов, 7 скоростей","смертную казнь, надо начинать с пидорасов депутатов, и путинских прихлебаев, которые жыреют прям на глазах."
вы уже поцелованные богом! такая вселенная краса! каланхое цветет! это уже:великая радость! позитивчика! вам! креативчика! квантовое поле на удачу! благости!,"ебанько,в россии всё есть,жополиз америкосовский)))))"
надо наградить героя как положено !!!!!! спасибо вам вы настоящий герой спасшие жизнь!!!,этот дизайнер пидор. (гей).
"фото сов.периода . десант тогда ещё в фонтаны не нырял , посуду о головы не бил , флагами не размахивал , на клаксоны не давил",у меня бирочка была - а потом исчезла- свекровь ее вытащила и хранит у себя. - воровские замашки.этой скотины испытал на себе и мой сын кроме меня ( ее родной внук). вот уж точно не знаешь- какие будут свекрови!!!!
вот именно безценна.. самая большая ценность это больше чем безценна? или меньше?,😠 гнида и есть гнида
здоровье вам маленькие детки,"тупость автора не знает границ...это ж как надо постараться,чтобы из автомата с дульным тормозом-кл пенсатором для холостых патронов расстрелять камеры?!? автор-лошара,тебе надо в армию сходить,может поумнеешь..."
"и у меня есть такой набор, мне его крёсная подарила, её уже нет, а подарок есть и память о ней.",наташа - чуть-чуть по 😡 скромней. путеноиды вас сейчас скушают! 😑
"здравствуйте! откройте пожалуйста сообщения, не могу вам ответить.","тунеядка, вали в тулун, там нужны врачи, оклад 70000-100000, квартира и миллион подъемных. ты бы меньше воровала со свом семейством тунеядцев, может больше дорог отремонтировали. и лес прекращай жеч, а то вас приходиться по тайге отлавливать и сажать, халявщиков."
"жэудан,паспортный столдон","петушье росгвардейское,блядь с дубьем,в спец обмундировании,ну герои народ собственный пиздить тварюги продажные!"
не ужели такое бывает? почему у нас такого нет.. очень хочу хоть разок собрать такие грибочки,"желаю навальному выздороветь, а пидарасу чтоб сдох побыстрей"
кто нибудь может дать мне её номер или дайти до неё и я позвоню,автор 👿 коммента ебучий лайкодрочер
"а где тут внедорожников, то.?","дигрот, ты опять про суицид ? хорошо тебя ведать задела, твоя суицидница, уебанка, ты уже давно должна была понять кто я, а ты молофейная рожа, всё в предположениях. ты не балуйся хуями, у тебя память теряется"
